id,road_type,num_lanes,curvature,speed_limit,lighting,weather,road_signs_present,public_road,time_of_day,holiday,school_season,num_reported_accidents,accident_risk
10000,urban,1,0.91,70,dim,foggy,True,True,evening,True,True,2,0.51
10001,rural,4,0.28,45,daylight,foggy,True,True,morning,True,True,2,0.13
10002,highway,4,0.07,60,dim,rainy,True,True,afternoon,False,False,1,0.33
10003,urban,3,0.79,35,night,rainy,True,False,afternoon,False,False,1,0.44
10004,highway,2,0.13,35,night,rainy,False,True,morning,False,True,1,0.35
10005,rural,1,0.94,35,dim,clear,False,False,afternoon,True,False,0,0.32
10006,rural,4,0.63,25,daylight,rainy,True,False,evening,True,False,1,0.22
10007,rural,1,0.58,60,dim,clear,False,False,morning,True,True,1,0.4
10008,highway,4,0.24,60,dim,rainy,True,False,afternoon,True,True,1,0.41
10009,highway,4,0.63,45,night,clear,True,False,morning,True,False,2,0.44
10010,rural,3,0.59,70,daylight,clear,False,False,afternoon,True,True,3,0.42
10011,urban,3,0.17,25,dim,foggy,False,True,afternoon,True,True,0,0.09
10012,highway,2,0.8,35,dim,foggy,True,True,evening,True,True,0,0.41
10013,rural,1,0.14,45,dim,foggy,False,True,morning,True,False,1,0.09
10014,urban,3,0.57,25,daylight,foggy,True,True,afternoon,False,True,1,0.35
10015,rural,3,0.84,45,daylight,rainy,True,False,morning,False,True,0,0.37
10016,rural,3,0.66,70,dim,foggy,True,False,afternoon,False,True,1,0.53
10017,urban,2,0.88,45,daylight,clear,False,True,afternoon,True,True,1,0.32
10018,rural,1,0.85,25,daylight,rainy,False,False,afternoon,False,False,2,0.3
10019,urban,2,0.3,35,dim,rainy,False,True,morning,False,True,2,0.21
10020,rural,2,0.13,35,dim,clear,False,True,morning,False,True,0,0.01
10021,rural,1,0.21,25,dim,clear,False,False,evening,True,False,1,0.04
10022,highway,4,0.06,60,daylight,rainy,False,True,morning,True,True,0,0.27
10023,urban,1,0.49,25,dim,rainy,False,True,evening,False,True,0,0.27
10024,rural,1,0.71,60,daylight,rainy,True,False,evening,True,True,1,0.53
10025,urban,1,0.27,25,dim,foggy,True,True,evening,False,True,1,0.24
10026,highway,4,0.84,70,dim,foggy,True,False,morning,True,True,0,0.47
10027,highway,4,0.8,70,night,foggy,False,False,morning,True,False,0,0.69
10028,urban,1,0.56,60,daylight,rainy,False,True,afternoon,False,False,3,0.67
10029,urban,2,0.31,35,daylight,foggy,False,True,morning,True,True,0,0.26
10030,highway,1,0.97,25,dim,clear,False,False,afternoon,False,True,2,0.29
10031,rural,2,0.79,25,dim,rainy,True,True,morning,False,False,1,0.4
10032,rural,2,0.56,25,dim,rainy,True,False,morning,False,True,1,0.26
10033,urban,2,0.04,35,daylight,foggy,True,True,morning,True,True,2,0.18
10034,rural,1,0.73,25,night,clear,False,False,morning,True,False,1,0.42
10035,highway,3,0.38,35,night,foggy,True,False,morning,False,True,0,0.4
10036,rural,1,0.34,35,daylight,rainy,True,True,evening,False,False,2,0.22
10037,rural,3,0.95,60,dim,foggy,False,False,morning,True,True,0,0.5
10038,highway,1,0.95,25,night,clear,True,False,evening,False,True,3,0.57
10039,rural,2,0.46,60,daylight,clear,True,False,morning,True,False,1,0.31
10040,urban,2,0.24,35,dim,rainy,False,False,morning,False,False,1,0.18
10041,rural,3,0.67,70,dim,clear,True,True,morning,False,False,1,0.49
10042,highway,2,0.35,35,dim,clear,False,False,afternoon,False,False,0,0.08
10043,highway,3,0.68,60,dim,rainy,False,True,afternoon,True,False,0,0.49
10044,rural,4,0.36,45,night,foggy,True,True,evening,False,False,0,0.43
10045,urban,4,0.9,35,dim,foggy,False,False,evening,True,True,3,0.45
10046,highway,3,0.1,45,daylight,clear,False,True,afternoon,False,True,1,0.04
10047,highway,2,0.7,35,night,clear,True,True,evening,True,False,2,0.39
10048,highway,1,0.58,60,daylight,rainy,False,True,evening,False,True,1,0.57
10049,urban,2,0.52,60,daylight,foggy,True,False,morning,False,False,1,0.48
10050,highway,4,0.55,25,daylight,rainy,True,True,evening,True,True,3,0.41
10051,urban,3,0.78,60,night,foggy,True,True,morning,False,True,3,0.73
10052,urban,1,0.12,45,night,clear,False,True,afternoon,False,True,1,0.33
10053,rural,4,0.67,45,dim,rainy,False,False,afternoon,False,True,0,0.24
10054,urban,2,0.91,70,night,clear,False,True,afternoon,False,True,3,0.8
10055,rural,1,0.48,25,dim,foggy,True,True,evening,False,True,2,0.2
10056,highway,1,0.67,45,daylight,foggy,False,True,morning,True,False,0,0.34
10057,rural,4,0.81,60,night,rainy,True,False,morning,False,False,0,0.65
10058,highway,1,0.37,70,daylight,rainy,True,False,evening,False,False,2,0.37
10059,rural,3,0.49,45,dim,clear,False,False,morning,True,True,1,0.16
10060,highway,1,0.39,70,daylight,clear,False,True,morning,True,True,2,0.35
10061,highway,4,0.19,35,dim,clear,True,False,morning,False,False,1,0.16
10062,highway,2,0.65,70,night,foggy,True,True,evening,True,False,0,0.74
10063,urban,1,0.39,70,daylight,foggy,False,False,evening,True,True,2,0.41
10064,rural,1,0.38,45,night,foggy,True,True,evening,False,True,2,0.38
10065,highway,1,0.73,25,daylight,foggy,True,False,afternoon,True,False,3,0.52
10066,highway,4,0.57,45,night,clear,True,True,afternoon,True,False,3,0.48
10067,urban,3,0.69,60,night,rainy,True,True,morning,True,False,1,0.72
10068,rural,3,0.45,70,daylight,foggy,False,False,morning,False,False,0,0.37
10069,rural,4,0.08,60,dim,foggy,True,False,evening,True,False,0,0.33
10070,rural,1,0.32,35,daylight,foggy,True,False,evening,True,True,1,0.16
10071,urban,1,0.45,25,night,clear,True,True,afternoon,True,False,0,0.2
10072,highway,4,0.68,70,dim,foggy,True,True,afternoon,True,True,1,0.44
10073,rural,4,0.5,35,daylight,clear,False,True,afternoon,False,True,0,0.13
10074,rural,2,0.86,35,dim,clear,False,True,afternoon,True,True,1,0.31
10075,rural,4,0.88,25,dim,clear,False,True,morning,True,False,2,0.23
10076,urban,3,0.68,45,dim,foggy,True,True,morning,False,False,2,0.39
10077,highway,2,0.56,60,dim,rainy,True,False,afternoon,True,True,0,0.45
10078,rural,4,0.74,45,daylight,clear,False,True,evening,True,True,0,0.21
